PropertyValue;Timestamp
24,4;17:55:07
24,5;17:55:13

24,6;17:55:23
24,6;17:55:29
24,7;17:55:35
24,8;17:55:40
24,8;17:55:45
24,9;17:55:51



25,1;17:56:13
25,2;17:56:18
25,2;17:56:24
25,3;17:56:29
25,3;17:56:35
25,3;17:56:41
25,3;17:56:46
25,3;17:56:52
25,1;17:56:58
25,1;17:57:03
24,9;17:57:09

24,7;17:57:20
24,6;17:57:25
24,5;17:57:31
24,5;17:57:37
24,5;17:57:42




24,6;17:58:10
24,7;17:58:16
24,7;17:58:21
24,8;17:58:27
24,8;17:58:32
24,9;17:58:38
24,9;17:58:43
25;17:58:49
25,1;17:58:54
25,1;17:59:00
25,2;17:59:05
25,2;17:59:11

25,3;17:59:22
25,4;17:59:28
25,4;17:59:33
25,5;17:59:39
25,5;17:59:44


25,5;18:00:01
25,5;18:00:06

25,5;18:00:17
25,4;18:00:22
25,3;18:00:28
25,3;18:00:34
25,1;18:00:39
25,1;18:00:45







24,4;18:01:28


24,2;18:01:45
24,2;18:01:51
24,2;18:01:56
24,1;18:02:02
24,2;18:02:07
24,2;18:02:13
24,2;18:02:18
24,2;18:02:24
24,3;18:02:29
24,3;18:02:35

24,4;18:02:46
24,5;18:02:51
24,6;18:02:56
24,6;18:03:02
24,7;18:03:08
24,7;18:03:13
24,8;18:03:19
24,9;18:03:24

25;18:03:35


25,1;18:03:52
25;18:03:57
25,3;18:04:03
25,3;18:04:08

25,4;18:04:19



25,5;18:04:41



25;18:05:03
24,9;18:05:08


24,6;18:05:25

